"asset_id","asset_type","final_report_placeholder","output_path","source_artifact_path","source_status","generated_status","notes","ready_for_main_report","appendix_candidate"
"table_1_dataco_dataset_summary","table","Table 1. DataCo dataset summary","report/final_report_assets/tables/table_1_dataco_dataset_summary.md; report/final_report_assets/tables/table_1_dataco_dataset_summary.csv","docs/data_source_verification.md; docs/medallion_structure.md; report/final_capstone_report_draft_v3.md","ready","ready","Dataset source, row count, column count, checksum, governance, and limitation summary built from checked-in artifacts.","yes","yes"
"figure_1_medallion_project_workflow","figure","Figure 1. Medallion and project workflow architecture","report/final_report_assets/figures/figure_1_medallion_project_workflow.md","docs/medallion_structure.md; docs/project_orchestrator.md; report/final_capstone_report_draft_v3.md","ready","ready_needs_formatting","Mermaid source is ready. PNG was not generated because no heavy rendering dependency was introduced.","yes","yes"
"table_2_chronological_split_summary","table","Table 2. Chronological split summary","report/final_report_assets/tables/table_2_chronological_split_summary.md; report/final_report_assets/tables/table_2_chronological_split_summary.csv","docs/chronological_split_policy.md; data/references/ao1_chronological_partition_summary.csv; data/references/ao2_chronological_partition_summary.csv","ready","ready","AO1/AO2 chronological split summary with final-test caveats.","yes","yes"
"table_3_ao1_model_validation_comparison","table","Table 3. AO1 model validation comparison","report/final_report_assets/tables/table_3_ao1_model_validation_comparison.md; report/final_report_assets/tables/table_3_ao1_model_validation_comparison.csv","report/tables/ao1_model_validation_comparison.csv; docs/ao1_results_h1_validation.md","ready","ready","AO1 validation metrics copied from committed artifact; no metric changes.","yes","no"
"table_4_ao2_model_validation_comparison","table","Table 4. AO2 model validation comparison","report/final_report_assets/tables/table_4_ao2_model_validation_comparison.md; report/final_report_assets/tables/table_4_ao2_model_validation_comparison.csv","report/tables/ao2_model_validation_comparison.csv; report/tables/ao2_results_h2_summary.csv; docs/ao2_results_h2.md","ready","ready","AO2 validation metrics copied from committed artifact; includes modest-improvement caveat.","yes","no"
"table_5_ao3_risk_margin_matrix_policy","table","Table 5. AO3 risk-margin matrix policy","report/final_report_assets/tables/table_5_ao3_risk_margin_matrix_policy.md; report/final_report_assets/tables/table_5_ao3_risk_margin_matrix_policy.csv","data/references/ao3_risk_margin_matrix_policy.csv; docs/ao3_risk_margin_matrix.md; docs/ao3_methodology_and_results.md; data/references/ao3_operational_recommendation_matrix.csv","ready","ready","AO3 deterministic policy and fallback segment rows.","yes","no"
"table_6_ao3_held_out_segment_summary","table","Table 6. AO3 held-out scored segment summary","report/final_report_assets/tables/table_6_ao3_held_out_segment_summary.md; report/final_report_assets/tables/table_6_ao3_held_out_segment_summary.csv","data/references/ao3_risk_margin_benchmark_segment_summary.csv; docs/ao3_segment_assignment.md; docs/ao3_risk_margin_benchmark.md; docs/ao3_methodology_and_results.md","ready","ready","Held-out scored segment summary with H3 evidence note; no realized intervention outcomes claimed.","yes","no"
"figure_2_powerbi_dashboard_screenshot","figure","Figure 2. Power BI Executive Command Center for DataCo Risk-Margin Prioritization","report/final_report_assets/figures/figure_2_powerbi_executive_command_center.png; report/final_report_assets/figures/DataCo_Dashboard.pdf; report/final_report_assets/figures/figure_2_powerbi_dashboard_screenshot_placeholder.md","Power BI dashboard export, DataCo_Dashboard.pdf, Page 1; supplied page image export DataCo_Dashboard_pages-to-jpg-0001.jpg","ready","ready","Figure 2 PNG was created from the supplied Page 1 dashboard image export. The PDF remains the dashboard evidence source. No .pbix or fake dashboard artifact was created.","yes","no"
"powerbi_dashboard_page_inventory","dashboard_evidence","Power BI dashboard page inventory","report/final_report_assets/figures/powerbi_dashboard_page_inventory.md; report/final_report_assets/figures/powerbi_dashboard_page_inventory.csv","Power BI dashboard export, DataCo_Dashboard.pdf, Pages 1-11; supplied page image exports","ready","ready","Page inventory lists 11 exported dashboard pages, main-report use, appendix use, key focus, and Page 11 map/visual warning caveat.","yes","yes"
"table_7_ao3_operational_recommendation_matrix","table","Table 7. AO3 operational recommendation matrix","report/final_report_assets/tables/table_7_ao3_operational_recommendation_matrix.md; report/final_report_assets/tables/table_7_ao3_operational_recommendation_matrix.csv","data/references/ao3_operational_recommendation_matrix.csv; docs/ao3_operational_recommendations.md; docs/ao3_methodology_and_results.md","ready","ready","Full source-faithful AO3 managerial action matrix. Source columns are mapped directly: segment_interpretation to human-readable label; recommended_action to operational priority; logistics_attention, pricing_or_margin_attention, monitoring_focus, dashboard_use, evidence_basis, and limitations are preserved.","yes","no"
"table_7_ao3_operational_recommendation_matrix_concise","table","Table 7. AO3 operational recommendation matrix - concise view","report/final_report_assets/tables/table_7_ao3_operational_recommendation_matrix_concise.md; report/final_report_assets/tables/table_7_ao3_operational_recommendation_matrix_concise.csv","data/references/ao3_operational_recommendation_matrix.csv","ready","ready","Optional main-report concise view using only source artifact wording from segment_interpretation, recommended_action, and limitations.","yes","no"
