variable_name,analysis_column,variable_origin,variable_type,ao1_policy,screening_status,decision_time_valid,eda_summary,notable_pattern,late_delivery_rate_difference,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,source_rationale,required_action_from_screening
Type,Type,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,Categorical: 4 groups; 4 met support. Strongest supported group 'TRANSFER' had late rate 48.54% (-6.29 pp vs overall).,Highest supported rate: 'PAYMENT' 57.53%; lowest: 'TRANSFER' 48.54%.,-0.0629,Minimum support 903; 0 groups below threshold.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,"Transaction type appears to be known at order creation, but business semantics should be confirmed before modeling.",May be used as a categorical candidate after train-only encoding.
Days for shipping (real),Days_for_shipping_real,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.,"Use only for outcome audit, descriptive dashboards, and AO1 target validation."
Days for shipment (scheduled),Days_for_shipment_scheduled,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group '1' had late rate 95.32% (+40.49 pp vs overall).,Highest supported rate: '1' 95.32%; lowest: '4' 38.07%.,0.4049,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Scheduled shipping duration is planned service information expected to be known before dispatch.,Can support planned-service features such as speed tier or urgent-service flag.
Benefit per order,Benefit_per_order,raw_dataco,numeric,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.,Use only for AO2 target audit or descriptive historical reporting.
Sales per customer,Sales_per_customer,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 163.990; on-time class median 163.990; missing rate 0.00%.,"Highest supported bin (7.489, 94.5] had late rate 55.08%; lowest bin (128.69, 188.99] had 54.64%.",0.0044,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Despite its name this is treated under the current AO2 policy as order-value information that may duplicate Order Item Total; it is not approved as a customer-history aggregate.,Confirm semantics before modeling; prefer Order Item Total if both are available and document selected AO2 financial predictors.
Delivery Status,Delivery_Status,raw_dataco,categorical,forbidden,excluded,no,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO1 modeling because it is an outcome, post-event field, or target proxy.",dashboard_only,False,"Use only for descriptive dashboard, target audit, or governance context.",Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.,Use only for descriptive reporting and target validation.
Late_delivery_risk,Late_delivery_risk,raw_dataco,binary,target,approved,target_only,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,AO1 target field; never a predictor.,exclude_from_ao1_modeling,False,Exclude from AO1 predictor lists.,This is the official AO1 binary target and must never be used as a predictor.,"Use as AO1 target only; exclude from AO1, AO2, and dashboard predictor feature matrices."
Category Id,Category_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 29.000; on-time class median 29.000; missing rate 0.00%.,"Highest supported bin (24.0, 43.0] had late rate 55.00%; lowest bin (17.0, 24.0] had 54.52%.",0.0048,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product category code is likely known at order creation but may be high-cardinality or duplicate Product Category Id.,Use directly only after categorical review; training-only encoding required for modeling.
Category Name,Category_Name,raw_dataco,categorical,allowed,deferred_to_gold,yes,Categorical: 50 groups; 15 met support. Strongest supported group 'Accessories' had late rate 56.97% (+2.14 pp vs overall).,Highest supported rate: 'Accessories' 56.97%; lowest: 'Men's Footwear' 54.49%.,0.0214,Minimum support 903; 35 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,Product category name is expected to be known at order creation and has clear business meaning.,Can be normalized or grouped deterministically before train-only encoding.
Customer City,Customer_City,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 563 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Customer city is likely known at order creation but may be high-cardinality and unstable.,Use normalized city or grouped region features; avoid blind one-hot encoding.
