"citation_key","source_category","slot_type","concept_supported","final_report_section","metadata_status","missing_fields","appear_in_final_references","source_file_found","marker_supported","marker_action","notes"
"dataco_dataset_constante_2019","Dataset","fixed_source","DataCo Smart Supply Chain dataset source, DOI, version, contributors, and license","Data source and pipeline overview","complete","None","yes","docs/data_source_verification.md; report/final_capstone_report_expanded_draft.md","dataset source sections","replace with citation","Only complete APA-ready external reference currently supported by repository evidence."
"baryannis_2019_supply_chain_risk_ml","Core literature","fixed_source","Supply-chain risk prediction and interpretability trade-offs","Business problem; AO1; explainability","partial_needs_metadata","Author initials; venue; volume/issue/pages; DOI or URL","yes_after_metadata_verification","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","machine learning for delivery risk and logistics prediction; supply chain analytics literature; predictive analytics and decision-support literature","replace after metadata verification","Core supply-chain risk and interpretability source from already-used pool."
"toorajipour_2021_ai_scm_review","Core literature","fixed_source","AI in supply-chain management review context","Business problem and literature context","partial_needs_metadata","Author initials; journal; volume/issue/pages; DOI or URL","yes_after_metadata_verification","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","predictive analytics in supply chain management; supply chain analytics literature","replace after metadata verification","Use as broad AI-in-SCM background."
"ni_xiao_lim_2020_ml_scm_review","Core literature","fixed_source","ML research trends in supply-chain management","Literature context","partial_needs_metadata","Author initials; journal; volume/issue/pages; DOI or URL","yes_after_metadata_verification_if_used_with_or_instead_of_toorajipour","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","predictive analytics in supply chain management; supply chain analytics literature","replace after metadata verification","Tracker notes image-based PDF; verify specific detailed claims directly."
"katangoori_2026_dataco_supply_chain_optimization","Core literature","fixed_source","DataCo risk, profit, segmentation, and leakage-aware comparison","AO1/AO2/AO3 literature context","partial_needs_metadata","Full publication metadata; DOI or URL; source-quality review","yes_after_metadata_verification","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","machine learning for delivery risk and logistics prediction; profitability modeling and regression analytics; data leakage in predictive modeling; segmentation and decision-support frameworks","replace after metadata verification","Closest applied DataCo comparison if metadata/source quality are confirmed."
"ahmed_2025_interpretable_supply_chain_forecasting","Core literature","fixed_source","DataCo late delivery, shipping-time forecasting, and SHAP","AO1 and explainability context","partial_needs_metadata","Author initials; venue; volume/issue/pages; DOI or URL","yes_after_metadata_verification_if_dataco_late_delivery_precedent_is_discussed","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md; Bibliographic References and Strategic Application.docx","machine learning for delivery risk and logistics prediction; SHAP and explainable machine learning","replace after metadata verification","Useful applied DataCo/SHAP source; no full APA metadata established here."
"hastie_tibshirani_friedman_2009_esl","Methodology literature","fixed_source","Statistical learning, regression/classification, boosting, validation","AO1/AO2 methods","partial_needs_metadata","Author initials; edition; publisher; URL if online version is cited","yes_after_metadata_verification","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","profitability modeling and regression analytics; predictive analytics and decision-support literature","replace after metadata verification","Core methods reference, not supply-chain-specific."
"lundberg_lee_2017_shap","Explainability literature","fixed_source","SHAP method and model interpretation","SHAP/explainability; responsible-use caveats","partial_needs_metadata","Author initials; proceedings or venue; DOI or URL","yes_after_metadata_verification","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","SHAP and explainable machine learning; SHAP original paper or official documentation; responsible AI/model governance/explainability literature","replace after metadata verification","Foundational SHAP source."
"zaharia_2016_apache_spark","Infrastructure literature","fixed_source","Apache Spark big-data processing","Data engineering and reproducibility","partial_needs_metadata","Full author list; venue; DOI or URL","yes_after_metadata_verification_if_spark_is_cited","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","Apache Spark documentation if cited","replace after metadata verification","Supports infrastructure only, not model validity."
"armbrust_2020_delta_lake","Infrastructure literature","fixed_source","Delta Lake storage and reliable lakehouse tables","Data engineering and reproducibility","partial_needs_metadata","Full author list; venue; DOI or URL","yes_after_metadata_verification_if_delta_lake_is_cited","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","Delta Lake documentation if cited","replace after metadata verification","Supports storage/reproducibility only."
"gopal_2024_bda_supply_chain_performance","Optional literature","fixed_source","Big-data analytics and supply-chain performance","Business value and operational interpretation","partial_needs_metadata","Full publication metadata; DOI or URL","conditional_if_business_performance_framing_remains","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","predictive analytics in supply chain management; supply chain analytics literature","replace after metadata verification if used","Useful for business-performance framing, not model choice."
"douaioui_2024_late_delivery_resilience","Optional literature","fixed_source","Late-delivery prediction and resilience","AO1 literature context","partial_needs_metadata","Full publication metadata; DOI or URL","conditional_if_additional_late_delivery_study_needed","report/final_apa_reference_inventory.csv; apa_reference_usefulness_tracker.md","machine learning for delivery risk and logistics prediction","replace after metadata verification if used","Use only if final report needs an additional advanced late-delivery study."
