"todo_id","exact_todo_text","report_section","claim_supported","recommended_citation_key","action","metadata_status","missing_metadata","source_file_or_url","notes"
"v2_todo_01","[APA TODO: toorajipour_2021_ai_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","AI and machine-learning reviews describe supply-chain analytics use cases.","toorajipour_2021_ai_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use as broad AI-in-SCM background after verification."
"v2_todo_02","[APA TODO: ni_xiao_lim_2020_ml_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","ML reviews describe supply-chain analytics use cases.","ni_xiao_lim_2020_ml_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use with or instead of Toorajipour after verification."
"v2_todo_03","[APA TODO: baryannis_2019_supply_chain_risk_ml - missing full author initials, venue, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","Supply-chain risk-prediction literature supports ML risk identification and performance-interpretability trade-offs.","baryannis_2019_supply_chain_risk_ml","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Core AO1 and interpretability framing source."
"v2_todo_04","[APA TODO: ahmed_2025_interpretable_supply_chain_forecasting - missing full author initials, venue, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","Applied late-delivery or DataCo-focused studies may provide additional context.","ahmed_2025_interpretable_supply_chain_forecasting","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use only if DataCo late-delivery precedent remains."
"v2_todo_05","[APA TODO: katangoori_2026_dataco_supply_chain_optimization - missing full publication metadata, DOI or URL, source-quality review]","Literature Review / Analytical Context","DataCo-focused studies may provide additional comparison context.","katangoori_2026_dataco_supply_chain_optimization","replace_after_metadata","partial_needs_metadata","Full publication metadata; DOI or URL; source-quality review.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Verify source quality before final citation."
"v2_todo_06","[APA TODO: hastie_tibshirani_friedman_2009_esl - missing edition, publisher, and URL if online version is cited]","Literature Review / Analytical Context","General statistical learning supports linear baselines, regularized regression, and nonlinear boosting.","hastie_tibshirani_friedman_2009_esl","replace_after_metadata","partial_needs_metadata","Edition; publisher; URL if online version is cited.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Core methods source."
"v2_todo_07","[APA TODO: liu_chen_zheng_feng_2022_leakage_suppression - missing venue or publisher, volume/issue/pages if applicable, DOI or URL]","Literature Review / Analytical Context","Future or test information can create leakage and falsely high evaluation results.","liu_chen_zheng_feng_2022_leakage_suppression","replace_after_metadata","partial_needs_metadata","Venue or publisher; volume/issue/pages if applicable; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; external Liu et al. PDF path recorded in inventory","Use with limitation: time-series-focused, not supply-chain-specific."
"v2_todo_08","[APA TODO: lundberg_lee_2017_shap - missing proceedings or venue details, DOI or URL]","Literature Review / Analytical Context","SHAP is used for model explanation rather than causal evidence.","lundberg_lee_2017_shap","replace_after_metadata","partial_needs_metadata","Proceedings or venue details; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Foundational SHAP method source."
"v2_todo_09","[APA TODO: microsoft_learn_powerbi_azure_databricks - missing Microsoft Learn page date, URL, and retrieval date if needed]","Literature Review / Analytical Context","Microsoft Learn supports the selected Power BI-to-Azure-Databricks connector architecture.","microsoft_learn_powerbi_azure_databricks","replace_after_metadata","reference_needed","Microsoft Learn page date; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/powerbi_databricks_serving_layer.md","Primary connector source, not Databricks Power Platform blog."
"v2_todo_10","[APA TODO: zaharia_2016_apache_spark - missing full author list, venue, DOI or URL]","Data Engineering and Cloud Implementation","Spark supports the data-processing pattern used in the academic workflow.","zaharia_2016_apache_spark","replace_after_metadata","partial_needs_metadata","Full author list; venue; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/databricks_setup.md","Use only for infrastructure support."
