silver_column_name,silver_data_type,source_column_name,source_layer,derivation_or_cleaning_note,business_meaning,missing_value_rule,quality_caveat,decision_time_availability,ao1_usage,ao2_usage,dashboard_usage,target_relevance,leakage_restriction,approved_use_note,review_status,related_document
Type,string,Type,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Type of transaction made,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,May be used as a categorical candidate after train-only encoding.,needs_review,docs/leakage_control_plan.md
Days_for_shipping_real,int,Days for shipping (real),bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Actual shipping days of the purchased product,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_delivery,forbidden,forbidden,dashboard_only,outcome_proxy,Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.,"Use only for outcome audit, descriptive dashboards, and AO1 target validation.",approved,docs/ao1_target_definition.md
Days_for_shipment_scheduled,int,Days for shipment (scheduled),bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Days of scheduled delivery of the purchased product,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,before_dispatch,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can support planned-service features such as speed tier or urgent-service flag.,deferred_to_gold,docs/leakage_control_plan.md
Benefit_per_order,double,Benefit per order,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Earnings per order placed,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,forbidden,forbidden,dashboard_only,profit_proxy,This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.,Use only for AO2 target audit or descriptive historical reporting.,approved,docs/ao2_target_policy.md
Sales_per_customer,double,Sales per customer,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Total sales per customer made per customer,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer Order Item Total if both are available; document any selected financial predictors.,needs_review,docs/ao2_target_policy.md
Delivery_Status,string,Delivery Status,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Delivery status of orders: Advance shipping, Late delivery, Shipping canceled, Shipping on time",Blank strings are trimmed and converted to null; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_delivery,forbidden,forbidden,dashboard_only,outcome_proxy,Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.,Use only for descriptive reporting and target validation.,approved,docs/ao1_target_definition.md
Late_delivery_risk,int,Late_delivery_risk,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,"Categorical variable that indicates if shipping is late (1) or not late (0).",Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,target,forbidden,allowed,ao1_target,Target-only field; never use as a predictor.,"Use as AO1 target only; exclude from AO1, AO2, and dashboard predictor feature matrices.",approved,docs/ao1_target_definition.md
Category_Id,int,Category Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Product category code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use directly only after categorical review; training-only encoding required for modeling.,needs_review,docs/leakage_control_plan.md
Category_Name,string,Category Name,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Description of the product category,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized or grouped deterministically before train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Customer_City,string,Customer City,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",City where the customer made the purchase,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use normalized city or grouped region features; avoid blind one-hot encoding.,needs_review,docs/leakage_control_plan.md
