page_number,page_title,page_purpose,primary_audience,key_metrics,key_visuals,AO1_AO2_AO3_scope,recommended_report_use,recommended_appendix_use,screenshot_or_export_path,status,notes
1,Cover,Opening/title page for the Power BI project,Executive and academic reviewers,No analytical KPIs identified from page metadata,Textbox cover visual,Context only,Do not use as main analytical figure,Optional opening screenshot only if a full dashboard export is submitted,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/3ecc4be43b452a0bd96a/page.json",appendix_only,Actual PBIP page 1 is the cover; this makes older wording that uses page 1 as the executive figure stale.
2,Executive Overview,Executive command-center overview across risk profitability and prioritization,Executive leadership and final-report readers,"Scored order items 34,467; high delivery risk 40.0%; expected profit $740,319; expected margin 10.4%; active review queue 13,804; protected value at risk $2,816,571","Executive KPI strip; decision intelligence flow; AO3 portfolio mix; executive focus; weekly protected-value trend; executive takeaway",AO1 + AO2 + AO3 integrated,Best main report figure,Appendix optional if detailed page screenshots are also included,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/a990e776db5deeca0370/page.json",final_needs_formatting,Use this page rather than the cover as the main dashboard figure after exporting a current image/PDF from Power BI.
3,AO1 | Policy Evidence,Shows AO1 threshold policy and validation evidence for delivery-risk decisions,Operations leadership and academic reviewers,"Scored order items 34,467; high-risk order items 13,804; high-risk rate 40.0%; approved AO1 threshold 35.0%; validation recall 61.7%; validation precision 84.7%; validation alert rate 41.5%","AO1 header; exposure KPI strip; exposure distribution; threshold policy; confusion matrix; methodology note; executive takeaway",AO1-specific,Use only if the report needs an AO1 threshold/validation figure,Recommended appendix evidence for AO1 governance,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/6ab291d30414a89305c5/page.json",final,Metrics are documented in dashboard/pages/q01_ao1_delivery_risk.md but require needs_project_artifact_cross-check against live Databricks/exported data if challenged.
4,AO1.1 | Operational Action,Turns AO1 risk exposure into a preventive action queue,Operations leadership,"High-risk order items 13,804; high-risk order value $2,825,135; negative-profit high risk 52; latest four-week high risk 738","Weekly high-risk exposure trend; preventive action brief; compact policy evidence; immediate review queue",AO1 with AO2/AO3 context,Not recommended as main report figure unless focusing on operational risk workflow,Appendix candidate for AO1 operational drill-down,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/29eae47bdc63470a0280/page.json",final,Values are visible in dashboard visual definitions/screenshots but cannot be recalculated within dashboard folder without refresh data.
5,AO2 | Profitability,Shows expected profitability exposure and AO2 validation limitations,Operations and finance reviewers,"Scored order items 34,467; aggregate expected profit $740,319; average expected profit $21.48; expected margin 10.4%; negative expected-profit items 112; AO2 RMSE $95.62; AO2 MAE $52.65; AO2 R2 0.012","Profitability KPI strip; profit-band distribution; validation evidence; risk x margin scatter; methodology note; executive takeaway",AO2-specific with AO1/AO3 context,Use only if the report needs a profitability-specific figure,Recommended appendix evidence for AO2 profitability and limitations,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/f2871b520575529ea84b/page.json",final,Dashboard documentation positions AO2 as a triage signal rather than precise item-level forecasting.
6,AO2.1 | Margin Protection,Operational margin-protection view for negative-profit exposure,Operations and finance reviewers,"Expected profit $740,319; expected margin 10.4%; latest four-week profit $22,089; negative-profit items 112; top 10 loss concentration 57.3%","Weekly expected profit and margin trend; margin protection brief; model evidence; negative-profit review queue",AO2-specific with AO1/AO3 context,Not recommended as main report figure unless focusing on margin review,Appendix candidate for margin-protection workflow,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/00a2e8f4c90db510b28e/page.json",final,Good appendix evidence for the negative-profit review queue; displayed profitability is modeled not realized accounting profit.
7,AO3 Prioritization,Explains the governed risk-margin matrix and priority action queue,Executive leadership and academic reviewers,"Scored order items 34,467; protect first 13,752; protect-first share 100.0% of selected context; value at risk $2,816,571; selective expedite 52; AO1 cutoff 35.0%; AO3 margin cutoff 0.0%","Risk-margin priority matrix; priority action queue; governance status; executive takeaway",AO3-specific,Strong appendix or secondary main-text figure if the report focuses on the AO3 matrix,Recommended appendix evidence for the 2x2 policy logic,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/1dc86b164b7569886921/page.json",final,Some displayed shares depend on current filter context; avoid copying filtered percentages without confirming export state.
8,AO3.1 | Operational Allocation,Allocates operational attention across protect expedite and preserve-service queues,Operations leadership,"Active review queue 13,804 in documentation; protect queue 13,752; value to protect $2,816,571; selective expedite 52 in documentation; preserve service 20,603","Weekly protection capacity; operational allocation brief; operational performance cards; segment action board",AO3-specific with AO1/AO2 inputs,Not recommended as main report figure unless report narrative is operational allocation,Appendix candidate for operational treatment logic,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/caa9adf722d5de6b0deb/page.json",final,Dashboard page is useful for management action but exact filtered values require current export confirmation.
9,AO3.2 | Operational Decision Timeline,Shows recent AO3 operating pressure and action matrix over time,Operations leadership,"Latest four-week protect queue 735; latest four-week protected value $90,290; AO3 protect-items change 2.7%; protected-value change -49.0%","Recent performance KPI strip; weekly capacity timeline; operational insight; action matrix",AO3-specific with time-window context,Not recommended as main report figure,Appendix candidate for time-window operational pressure,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/b274afc451234883143e/page.json",final,Four-week comparisons are operational comparisons not forecasts; keep this caveat in any appendix caption.
10,P04 | Geographic & Commercial Hotspots,Separates geographic workload scale from disproportionate risk severity,Supply-chain and regional operations leadership,"Countries covered 66; high-risk items 13,804; value under review $7,148,008; protect-first items 13,752; selective expedite 52","Top volume hotspot ranking; disproportionate severity ranking; geographic executive takeaway",AO1 + AO3 geographic deployment lens with AO2 value context,Use only if geographic deployment is central to the report narrative,Recommended appendix page for geographic/operational drill-down,"No dashboard-folder screenshot/PDF export found; PBIP page definition: dashboard/Dashboard.Report/definition/pages/354066c5ee50aabab12a/page.json",final,Good appendix page because it separates scale from severity; do not present geography as a causal explanation.
