feature_name,rank,mean_abs_shap_value,importance_share,mean_signed_shap_value,driver_category,interpretation_note,target_policy_status,business_plausibility_note,model_name,input_slice,sample_size,final_test_used
numeric_continuous__item_unit_price,1,106.21635,0.06840939,-12.297125,commercial_price,Unit price is an approved commercial predictor but should be interpreted cautiously near profitability formulas.,caution,"Commercially plausible and approved, but interpret cautiously because profitability prediction is vulnerable to target reconstruction.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_kandahar,2,84.09245,0.054160338,-84.09245,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_tadlaazilal,3,82.8676,0.053371463,-82.8676,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__product_category_key_9_cardio_equipment,4,75.785034,0.048809886,-75.785034,product_mix,Product category or department can reflect assortment-level margin differences.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_jeju,5,75.646225,0.048720486,-75.646225,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_diana,6,52.950886,0.03410339,-52.950886,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_nyanza,7,48.861282,0.031469453,-48.861282,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_surjandarn,8,43.794174,0.028205946,-43.794174,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_country_normalized_taiwn,9,40.522274,0.026098657,-40.522274,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
categorical__order_state_normalized_yaroslavl,10,38.62251,0.024875099,-38.62251,geography,Geographic one-hot levels may capture regional commercial patterns; review sparsity before broad claims.,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",ao2_gradient_boosting_regressor,development_inner_validation,5000,False
