"page_number","page_title","report_use","key_metrics_or_focus","notes"
"1","DATACO EXECUTIVE COMMAND CENTER","Main report Figure 2","Executive summary of held-out scored order items, high delivery risk, expected profit, expected margin, active review queue, protected value at risk, AO1-AO2-AO3 decision flow, AO3 priority portfolio, and executive focus.","Use as the main report dashboard screenshot."
"2","DATACO - EXECUTIVE SUPPLY-CHAIN COMMAND CENTER","Appendix / presentation","Executive management action view with active review queue, value to protect, expected profit, selective expedite, negative-profit exposure, weekly protected value, operating pressure, geographic attention, and management action agenda.","Useful as a broader executive dashboard page if space allows."
"3","AO1 - DELIVERY RISK INTELLIGENCE","Appendix","AO1 pre-dispatch risk view with scored order items, high-risk items, high-risk rate, average late risk, approved threshold, risk exposure, validation confusion matrix, approved decision policy, and methodology note.","Supports AO1 dashboard evidence and threshold interpretation."
"4","AO1 - PRE-DISPATCH RISK CONTROL","Appendix","AO1 operational control view with high-risk items, high-risk rate, high-risk order value, negative-profit high-risk items, weekly high-risk exposure, policy evidence, and immediate review queue.","Supports operational interpretation of AO1 risk exposure."
"5","AO2 - PROFITABILITY INTELLIGENCE","Appendix","AO2 profitability view with scored order items, expected profit, average expected profit, expected margin, negative-profit items, profit distribution, validation evidence, and risk-margin exposure by AO3 segment.","Supports AO2 dashboard evidence and profitability caveats."
"6","AO2 - PROFITABILITY PROTECTION","Appendix","AO2 margin-protection view with expected profit, expected margin, recent profit movement, negative-profit items, top loss concentration, weekly expected profit and margin, margin protection brief, and loss review queue.","Use for profitability-protection discussion if appendix space allows."
"7","AO3 - INTEGRATED PRIORITIZATION","Appendix / possible report detail","AO3 risk-margin operational priorities with scored order items, protect-first queue, protect-first share, value at risk, selective expedite, priority matrix, action queue, and governance status.","Could support additional AO3 detail beyond the main Figure 2 if page count allows."
"8","AO3 - OPERATIONAL ALLOCATION","Appendix","AO3 operations allocation view with active review queue, protect queue, value to protect, selective expedite, preserve service, weekly protection capacity, allocation brief, operational performance, and attention allocation.","Use for operational allocation appendix evidence."
"9","AO3 - OPERATIONAL DECISION TIMELINE","Appendix","AO3 capacity timing view with latest four-week protection queue, protected value, average value per protection item, selective expedite, weekly protection capacity, managerial implication, and action steps.","Use for temporal operating-pressure appendix evidence."
"10","P04 - GEOGRAPHIC HOTSPOTS","Appendix, use with caveat","Geographic hotspots page with countries covered, high-risk items, value under review, protect-first items, selective expedite, top volume hotspots, disproportionate severity, and executive takeaway.","Use with caveat because geographic patterns are descriptive dashboard evidence, not causal or operational proof."
"11","Map/scatter continuation","Do not use in main report unless cleaned","Map and scatter continuation view with geographic scatter and map visual.","Do not use in the main report if it contains a visible map or visual warning; clean or replace before final-facing use."
