"source_key","source_category","report_section","concept_supported","current_in_text_citation","proposed_reference_entry","source_file_found","status","missing_fields","action_needed","notes"
"draft_marker_predictive_analytics_scm","literature_marker","Literature and decision context","Predictive analytics in supply chain management","[NEEDS APA SOURCE DETAILS: predictive analytics in supply chain management]","Use verified proposal-tracker candidates such as Toorajipour et al. (2021), Ni et al. (2020), Gopal et al. (2024), and Baryannis et al. (2019) after full APA metadata is confirmed.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA entries for selected literature; DOI or URL where available","Verify full source metadata before replacing the marker with citations.","This marker is intentional and should remain until the final literature set is confirmed."
"draft_marker_ml_delivery_risk_logistics","literature_marker","Literature and decision context","Machine learning for delivery risk and logistics prediction","[NEEDS APA SOURCE DETAILS: machine learning for delivery risk and logistics prediction]","Use verified candidates from Baryannis et al. (2019), Ahmed et al. (2025), Douaioui et al. (2024), Liang (2025), and Katangoori (2026) after metadata confirmation.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA entries; venue or publisher; DOI or URL","Confirm which delivery-risk sources are actually cited in final text.","Supports AO1 rationale without inventing final-test claims."
"draft_marker_profitability_regression","literature_marker","Literature and decision context","Profitability modeling and regression analytics","[NEEDS APA SOURCE DETAILS: profitability modeling and regression analytics]","Use Hastie, Tibshirani, and Friedman (2009) for general regression/boosting methodology and Katangoori (2026) if the verified article supports DataCo profit modeling.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata for Katangoori (2026); edition/publisher details for Hastie et al. (2009) if used","Verify a source specifically supporting profitability estimation or limit the claim to project methodology.","Preserve AO2 target-reconstruction caution."
"draft_marker_data_leakage_predictive_modeling","literature_marker","Literature and decision context","Data leakage in predictive modeling","[NEEDS APA SOURCE DETAILS: data leakage in predictive modeling]","Katangoori (2026) appears relevant to DataCo leakage concerns, but a general methodological leakage source is still needed before final citation.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","reference_needed","General leakage source; full Katangoori metadata if used","Add a verified methodological reference for leakage or revise the sentence to cite only internal leakage-control artifacts.","Do not cite internal project docs as external literature for the definition of leakage."
"draft_marker_shap_explainable_ml","literature_marker","Literature and decision context","SHAP and explainable machine learning","[NEEDS APA SOURCE DETAILS: SHAP and explainable machine learning]","Use Lundberg and Lee (2017) for SHAP after full metadata is confirmed; Ahmed et al. (2025) may support interpretable supply-chain forecasting if verified.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Conference/proceedings or publication details; DOI or URL","Confirm exact SHAP reference metadata before replacing marker.","Keep the text clear that SHAP is explanatory and not causal."
"draft_marker_segmentation_decision_support","literature_marker","Literature and decision context","Segmentation and decision-support frameworks","[NEEDS APA SOURCE DETAILS: segmentation and decision-support frameworks]","Use Ashraf et al. (2025) for segmentation if metadata is verified; Katangoori (2026) may support DataCo risk-profit segmentation; a decision-support source may still be needed.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata; possible additional decision-support framework source","Verify whether the segmentation source fits AO3 risk-margin framing or add a stronger decision-support reference.","Do not overstate K-means value; current artifacts recommend not adopting K-means as main AO3."
"draft_marker_bi_dashboards_analytics_communication","literature_marker","Literature and decision context","Business intelligence dashboards and analytics communication","[NEEDS APA SOURCE DETAILS: business intelligence dashboards and analytics communication]","No specific dashboard communication literature is confirmed in the proposal tracker; Microsoft/Power BI documentation can support tooling claims only.","report/final_capstone_report_expanded_draft.md; dashboard/README.md; dashboard/powerbi_semantic_model.md","reference_needed","BI/dashboard communication source; exact Microsoft documentation if citing connector mechanics","Add a verified BI/analytics-communication reference or reduce the statement to internal dashboard design requirements.","Power BI is the selected dashboard direction; final screenshots, page inventory, .pbix submission route if required, and serving-layer manifest details may still need later updates."
"draft_ref_xgboost","tool_reference_marker","References","XGBoost model/package citation","[NEEDS APA SOURCE DETAILS: XGBoost original paper or official documentation]","A verified XGBoost paper or official documentation reference is required; current repo only records xgboost==2.0.3.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/databricks_setup.md","reference_needed","Author or organization; year; title; version if documentation; URL/DOI; retrieval date if needed","Locate and verify an official XGBoost citation before final reference cleanup.","Do not infer paper details from memory."
"draft_ref_shap","tool_reference_marker","References","SHAP model-explanation citation","[NEEDS APA SOURCE DETAILS: SHAP original paper or official documentation]","Use Lundberg and Lee (2017) after full metadata is confirmed; current repo records shap==0.44.1.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/databricks_setup.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full paper/proceedings metadata; URL or DOI","Verify and format the SHAP source in APA style.","Can also cite official documentation if the report discusses package mechanics."
"draft_ref_sklearn","tool_reference_marker","References","scikit-learn models, metrics, and K-means citation","[NEEDS APA SOURCE DETAILS: scikit-learn documentation for Logistic Regression, Ridge Regression, metrics, and K-means]","A verified scikit-learn documentation or paper reference is required; current repo only records scikit-learn==1.3.2.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/ao3_kmeans_extension.md","reference_needed","Author or organization; year; documentation title; version; URL; retrieval date if needed","Locate official scikit-learn citation details before finalizing references.","Needed if final report names scikit-learn functionality."
