driver_source,feature_name,rank,importance_value,mean_abs_shap_value,policy_status,target_reconstruction_risk,business_plausibility,review_decision,review_note
xgboost_importance,categorical__shipping_speed_tier_standard,1,0.01697316,,caution,caution,Commercially plausible because planned service level and speed can relate to cost and margin mix.,accepted_with_caution,Approved planned shipping predictor; commercial interpretation should remain pre-dispatch.
xgboost_importance,categorical__order_state_normalized_cork,2,0.016188858,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__product_category_key_45_fishing,3,0.015886825,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,numeric_continuous__item_unit_price,4,0.015094075,,caution,caution,"Commercially plausible approved order-time signal, but close enough to profit mechanics to require caution.",accepted_with_caution,Approved order-time commercial predictor; interpret cautiously near profitability formulas.
xgboost_importance,categorical__order_state_normalized_copperbelt,5,0.014476473,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,numeric_continuous__order_item_quantity,6,0.014046226,,caution,caution,"Commercially plausible approved order-time signal, but close enough to profit mechanics to require caution.",accepted_with_caution,Approved quantity predictor; interpret cautiously near profitability formulas.
xgboost_importance,categorical__order_state_normalized_veracruz,7,0.013825894,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_baha,8,0.013561323,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__shipping_mode_normalized_second_class,9,0.012454553,,caution,caution,Commercially plausible because planned service level and speed can relate to cost and margin mix.,accepted_with_caution,Approved planned shipping predictor; commercial interpretation should remain pre-dispatch.
xgboost_importance,categorical__customer_state_normalized_md,10,0.012350716,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_drenthe,11,0.0119676655,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_kandahar,12,0.011925266,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_dinamarca_meridional,13,0.011323018,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_nyanza,14,0.010837238,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
xgboost_importance,categorical__order_state_normalized_mersin,15,0.010670747,,caution,caution,"Commercially plausible, but one-hot levels can be granular, sparse, or unstable.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,numeric_continuous__item_unit_price,1,,106.21635,caution,caution,"Commercially plausible and approved, but interpret cautiously because profitability prediction is vulnerable to target reconstruction.",accepted_with_caution,Approved order-time commercial predictor; interpret cautiously near profitability formulas.
shap,categorical__order_state_normalized_kandahar,2,,84.09245,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,categorical__order_state_normalized_tadlaazilal,3,,82.8676,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,categorical__product_category_key_9_cardio_equipment,4,,75.785034,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,categorical__order_state_normalized_jeju,5,,75.646225,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,categorical__order_state_normalized_diana,6,,52.950886,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
shap,categorical__order_state_normalized_nyanza,7,,48.861282,caution,caution,"Commercially plausible, but granular one-hot levels can be sparse or unstable and should not be overgeneralized.",accepted_with_caution,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
