decision_area,variable_or_feature_group,related_ao,decision,rationale,source_artifact_used,leakage_risk,target_reconstruction_risk,action_required_before_gold,owner_group_validation_needed,final_status
AO1 target,Late_delivery_risk,AO1,exclude_from_model_features,Official binary AO1 target and target-only field.,docs/ao1_target_definition.md; data/references/feature_availability_map.csv; data/references/leakage_conceptual_screening.csv; report/tables/ao1_class_imbalance_findings.md,high_if_used_as_predictor,low,Keep as AO1 target only and exclude from all predictor matrices,no,resolved
AO1 primary population,Delivery_Status equals Shipping canceled; Order_Status CANCELED or SUSPECTED_FRAUD,AO1,needs_group_validation,Canceled or fraud records are not normal completed deliveries and may contaminate the non-late class.,docs/ao1_target_definition.md; report/tables/pending_group_validation_decisions_for_gold.md,medium,low,Default proposal is to exclude Shipping canceled records from primary AO1 Gold and retain only sensitivity or audit flags,yes,unresolved_group_validation
Delivery outcome leakage fields,Delivery_Status; Days_for_shipping_real; shipping_date_DateOrders; Order_Status,AO1; AO2; dashboard,dashboard_only,Post-shipment or post-delivery fields may directly encode delivery or fulfillment outcomes.,docs/leakage_control_plan.md; docs/ao1_target_definition.md; docs/feature_availability_map.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,high,low,Keep out of AO1 and AO2 predictors and retain only for audit dashboard or population sensitivity logic,no,resolved
AO2 target,Order_Profit_Per_Order,AO2,exclude_from_model_features,Official AO2 target and target-only field.,docs/ao2_target_policy.md; data/references/feature_availability_map.csv; report/tables/ao2_profitability_bivariate_findings.md,low,high_if_used_as_predictor,Keep as AO2 target only and exclude from predictor matrices,no,resolved
AO2 profit duplicates and realized margin proxies,Benefit_per_order; Order_Item_Profit_Ratio; direct profit transformations; realized margin fields,AO2; dashboard,dashboard_only,Benefit_per_order duplicates the AO2 target and Order_Item_Profit_Ratio is a realized profit proxy.,docs/ao2_target_policy.md; docs/leakage_control_plan.md; report/tables/ao2_profitability_bivariate_findings.md,medium,high,Exclude from predictors and use only for target audit descriptive historical margin governance or dashboard caveats,no,resolved
AO3 order-value denominator,Order_Item_Total; item_net_sales_amount; Sales_per_customer,AO2; AO3,conditional_for_gold_with_policy,Order_Item_Total is selected as the AO3 denominator while Sales_per_customer and item_net_sales_amount duplicate the same order-value concept.,docs/ao2_target_policy.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/univariate_distribution_eda_findings.md,low,medium,Retain Order_Item_Total as the single denominator and do not include duplicate value fields in the same AO2 predictor matrix,no_for_denominator_yes_before_ao2_predictor_use,resolved_for_denominator_conditional_for_ao2_predictors
Gross sales fields,Sales; item_gross_sales_estimate,AO2; AO3,needs_group_validation,Gross sales duplicates or overlaps price times quantity and may be redundant with the selected order-value denominator.,docs/ao2_target_policy.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low,medium,Keep out of default AO2 predictors until the team decides whether gross value is needed,yes,unresolved_group_validation
Price fields,Order_Item_Product_Price; item_unit_price; Product_Price; product_list_price,AO2,conditional_for_gold_with_policy,Price is order-time valid but duplicate representations exist and can strengthen formula reconstruction when paired with quantity discount and value.,docs/ao2_target_policy.md; docs/shipping_product_features.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/univariate_distribution_eda_findings.md,low,medium,If approved choose one item-level representation only and exclude duplicate price fields,yes_before_predictor_inclusion,conditional
Discount fields,Order_Item_Discount; item_discount_amount; Order_Item_Discount_Rate; item_discount_rate; item_discount_share_of_gross,AO2,conditional_for_gold_with_policy,Discount fields are likely order-time valid but amount rate and share duplicate related commercial concepts.,docs/ao2_target_policy.md; docs/shipping_product_features.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low,medium,If approved prefer one rate representation and defer discount share unless derived commercial ratios are explicitly approved,yes_before_predictor_inclusion,conditional
Quantity fields,Order_Item_Quantity; order_item_quantity,AO1; AO2,conditional_for_gold_with_policy,Quantity is decision-time valid and low-cardinality but AO2 use belongs with the commercial-field policy.,data/references/feature_availability_map.csv; docs/ao2_target_policy.md; report/tables/ao2_profitability_group_validation_list.csv; report/tables/eda_univariate_summary.csv,low,medium_when_paired_with_price_value_discount,Use only one representation and document AO2 use with the selected commercial field set,yes_before_ao2_predictor_inclusion,conditional
Transaction type,Type,AO1; AO2,needs_group_validation,Low-cardinality field with no missingness but business semantics are not fully validated.,data/references/feature_availability_map.csv; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low_to_medium,low,Do not include by default until the team confirms order-creation semantics and operational validity,yes,unresolved_group_validation
Planned shipping service fields,Days_for_shipment_scheduled; Shipping_Mode; scheduled_shipping_days; shipping_speed_tier; shipping_mode_normalized; is_same_day_or_next_day_shipping; is_standard_shipping,AO1; AO2,approved_for_gold_candidate,Planned service information is expected before dispatch and has strong AO1 descriptive signal without post-shipment leakage.,docs/leakage_control_plan.md; docs/shipping_product_features.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao1_class_imbalance_findings.md,low,low,Include as Gold candidate features while avoiding unnecessary raw and engineered duplicates,no,resolved
Raw order timestamp,order_date_DateOrders; order date (DateOrders),AO1; AO2; general_gold,lineage_or_split_only,Raw timestamp is required for chronological split and lineage but should not be an unconstrained model feature.,docs/leakage_control_plan.md; docs/order_time_features.md; report/tables/univariate_distribution_eda_findings.md; report/tables/ao1_late_delivery_bivariate_findings.md,medium_if_used_raw,low,Retain for split lineage and validation only and use derived calendar features for modeling,no,resolved
Derived order-time calendar features,order_year; order_quarter; order_month; order_week_of_year; order_day_of_month; order_day_of_week; order_hour; order_is_weekend; order_season,AO1; AO2,approved_for_gold_candidate,Deterministic features derived only from the order creation timestamp.,docs/order_time_features.md; data/references/leakage_conceptual_screening.csv; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,low,low,Include as Gold candidate features with any later encoding fit on training data only,no,resolved
