variable_name,variable_origin,source_artifact,decision_time_availability,ao1_policy,ao2_policy,dashboard_policy,modeling_policy,screening_status,rationale,required_action,related_document
Type,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,candidate_feature,needs_group_review,"Transaction type appears to be known at order creation, but business semantics should be confirmed before modeling.",May be used as a categorical candidate after train-only encoding.,docs/leakage_control_plan.md
Days for shipping (real),raw_dataco,data/references/feature_availability_map.csv,after_delivery,forbidden,forbidden,dashboard_only,dashboard_only,excluded,Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.,"Use only for outcome audit, descriptive dashboards, and AO1 target validation.",docs/ao1_target_definition.md
Days for shipment (scheduled),raw_dataco,data/references/feature_availability_map.csv,before_dispatch,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Scheduled shipping duration is planned service information expected to be known before dispatch.,Can support planned-service features such as speed tier or urgent-service flag.,docs/leakage_control_plan.md
Benefit per order,raw_dataco,data/references/feature_availability_map.csv,target_or_outcome,forbidden,forbidden,dashboard_only,dashboard_only,excluded,This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.,Use only for AO2 target audit or descriptive historical reporting.,docs/ao2_target_policy.md
Sales per customer,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Despite its name this is treated under the current AO2 policy as order-value information that may duplicate Order Item Total; it is not approved as a customer-history aggregate.,Confirm semantics before modeling; prefer Order Item Total if both are available and document selected AO2 financial predictors.,docs/ao2_target_policy.md
Delivery Status,raw_dataco,data/references/feature_availability_map.csv,after_delivery,forbidden,forbidden,dashboard_only,dashboard_only,excluded,Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.,Use only for descriptive reporting and target validation.,docs/ao1_target_definition.md
Late_delivery_risk,raw_dataco,data/references/feature_availability_map.csv,target_or_outcome,target,forbidden,allowed,target_only,approved,This is the official AO1 binary target and must never be used as a predictor.,"Use as AO1 target only; exclude from AO1, AO2, and dashboard predictor feature matrices.",docs/ao1_target_definition.md
Category Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Product category code is likely known at order creation but may be high-cardinality or duplicate Product Category Id.,Use directly only after categorical review; training-only encoding required for modeling.,docs/leakage_control_plan.md
Category Name,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Product category name is expected to be known at order creation and has clear business meaning.,Can be normalized or grouped deterministically before train-only encoding.,docs/leakage_control_plan.md
Customer City,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Customer city is likely known at order creation but may be high-cardinality and unstable.,Use normalized city or grouped region features; avoid blind one-hot encoding.,docs/leakage_control_plan.md
Customer Country,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Customer country is a stable geographic field expected to be known at order creation.,Can be used as a regional categorical feature after train-only encoding.,docs/leakage_control_plan.md
Customer Email,raw_dataco,data/references/feature_availability_map.csv,sensitive_identifier,forbidden,forbidden,restricted,forbidden_predictor,excluded,Masked or direct customer contact information is an identifier and not operationally useful for modeling.,Exclude from modeling and dashboard outputs unless explicitly needed for data-quality audit.,docs/leakage_control_plan.md
Customer Fname,raw_dataco,data/references/feature_availability_map.csv,sensitive_identifier,forbidden,forbidden,restricted,forbidden_predictor,excluded,Customer first name is a personal identifier.,Exclude from modeling and reporting artifacts.,docs/leakage_control_plan.md
Customer Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Customer ID may be known at order creation but should not be used directly as a high-cardinality identifier.,May support historical aggregates only if computed with time-aware train-only logic.,docs/leakage_control_plan.md
Customer Lname,raw_dataco,data/references/feature_availability_map.csv,sensitive_identifier,forbidden,forbidden,restricted,forbidden_predictor,excluded,Customer last name is a personal identifier and has limited modeling value.,Exclude from modeling and reporting artifacts.,docs/leakage_control_plan.md
Customer Password,raw_dataco,data/references/feature_availability_map.csv,sensitive_identifier,forbidden,forbidden,restricted,forbidden_predictor,excluded,Masked customer password/key is sensitive and non-operational for modeling.,Exclude from all modeling and dashboard artifacts.,docs/leakage_control_plan.md
Customer Segment,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Customer segment is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.,docs/leakage_control_plan.md
Customer State,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Customer state is expected to be known at order creation and supports regional analysis.,Can be normalized or grouped before train-only encoding.,docs/leakage_control_plan.md
Customer Street,raw_dataco,data/references/feature_availability_map.csv,sensitive_identifier,forbidden,forbidden,restricted,forbidden_predictor,excluded,Street-level address detail is high-cardinality and sensitive.,Exclude; use coarser regional fields instead.,docs/leakage_control_plan.md
Customer Zipcode,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Customer postal code may be known at order creation but is granular and partially missing.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,docs/leakage_control_plan.md
Department Id,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Department code is expected to be known at order creation but may duplicate department name.,Use with documented category/department grouping decisions.,docs/leakage_control_plan.md
Department Name,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Department name is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.,docs/leakage_control_plan.md
Latitude,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,"Latitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.,docs/leakage_control_plan.md
Longitude,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,"Longitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.,docs/leakage_control_plan.md
Market,raw_dataco,data/references/feature_availability_map.csv,order_creation,allowed,allowed,allowed,candidate_feature,deferred_to_gold,Market is an order destination operating region expected to be known before dispatch.,Can be used as a regional categorical feature after train-only encoding.,docs/leakage_control_plan.md
Order City,raw_dataco,data/references/feature_availability_map.csv,order_creation,conditional,conditional,allowed,conditional_review,needs_group_review,Order destination city is expected to be known before dispatch but may be high-cardinality.,"Use normalized city, grouped geography, or training-only encoding with review.",docs/leakage_control_plan.md
