source_column,silver_column,semantic_group,availability_timing,ao1_policy,ao2_policy,dashboard_policy,modeling_use,rationale,derived_feature_guidance,related_document
Type,Type,transaction,order_creation,review,review,allowed,direct_candidate,"Transaction type appears to be known at order creation, but business semantics should be confirmed before modeling.","May be used as a categorical candidate after train-only encoding.","docs/leakage_control_plan.md"
Days for shipping (real),Days_for_shipping_real,shipping_actual,after_delivery,forbidden,forbidden,allowed,dashboard_only,"Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.","Use only for outcome audit, descriptive dashboards, and AO1 target validation.","docs/ao1_target_definition.md"
Days for shipment (scheduled),Days_for_shipment_scheduled,shipping_planned,before_dispatch,allowed,allowed,allowed,direct_candidate,"Scheduled shipping duration is planned service information expected to be known before dispatch.","Can support planned-service features such as speed tier or urgent-service flag.","docs/leakage_control_plan.md"
Benefit per order,Benefit_per_order,financial_outcome,target_or_outcome,forbidden,forbidden,allowed,dashboard_only,"This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.","Use only for AO2 target audit or descriptive historical reporting.","docs/ao2_target_policy.md"
Sales per customer,Sales_per_customer,financial_order_value,order_creation,review,review,allowed,review,"This field is order-value information but may duplicate Order Item Total and should not be included redundantly.","Prefer Order Item Total if both are available; document any selected financial predictors.","docs/ao2_target_policy.md"
Delivery Status,Delivery_Status,delivery_outcome,after_delivery,forbidden,forbidden,allowed,dashboard_only,"Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.","Use only for descriptive reporting and target validation.","docs/ao1_target_definition.md"
Late_delivery_risk,Late_delivery_risk,target,target_or_outcome,target,forbidden,allowed,exclude,"This is the official AO1 binary target and must never be used as a predictor.","Use as AO1 target only; exclude from predictor matrices.","docs/ao1_target_definition.md"
Category Id,Category_Id,product_category,order_creation,review,review,allowed,review,"Product category code is likely known at order creation but may be high-cardinality or duplicate Product Category Id.","Use directly only after categorical review; training-only encoding required for modeling.","docs/leakage_control_plan.md"
Category Name,Category_Name,product_category,order_creation,allowed,allowed,allowed,direct_candidate,"Product category name is expected to be known at order creation and has clear business meaning.","Can be normalized or grouped deterministically before train-only encoding.","docs/leakage_control_plan.md"
Customer City,Customer_City,customer_region,order_creation,review,review,allowed,review,"Customer city is likely known at order creation but may be high-cardinality and unstable.","Use normalized city or grouped region features; avoid blind one-hot encoding.","docs/leakage_control_plan.md"
Customer Country,Customer_Country,customer_region,order_creation,allowed,allowed,allowed,direct_candidate,"Customer country is a stable geographic field expected to be known at order creation.","Can be used as a regional categorical feature after train-only encoding.","docs/leakage_control_plan.md"
Customer Email,Customer_Email,customer_identifier,sensitive_identifier,forbidden,forbidden,forbidden,exclude,"Masked or direct customer contact information is an identifier and not operationally useful for modeling.","Exclude from modeling and dashboard outputs unless explicitly needed for data-quality audit.","docs/leakage_control_plan.md"
Customer Fname,Customer_Fname,customer_identifier,sensitive_identifier,forbidden,forbidden,forbidden,exclude,"Customer first name is a personal identifier.","Exclude from modeling and reporting artifacts.","docs/leakage_control_plan.md"
Customer Id,Customer_Id,customer_identifier,order_creation,review,review,allowed,training_only_aggregate,"Customer ID may be known at order creation but should not be used directly as a high-cardinality identifier.","May support historical aggregates only if computed with time-aware train-only logic.","docs/leakage_control_plan.md"
Customer Lname,Customer_Lname,customer_identifier,sensitive_identifier,forbidden,forbidden,forbidden,exclude,"Customer last name is a personal identifier and has limited modeling value.","Exclude from modeling and reporting artifacts.","docs/leakage_control_plan.md"
Customer Password,Customer_Password,customer_identifier,sensitive_identifier,forbidden,forbidden,forbidden,exclude,"Masked customer password/key is sensitive and non-operational for modeling.","Exclude from all modeling and dashboard artifacts.","docs/leakage_control_plan.md"
Customer Segment,Customer_Segment,customer_profile,order_creation,allowed,allowed,allowed,direct_candidate,"Customer segment is expected to be known at order creation and has clear business meaning.","Can be normalized and encoded inside train-only preprocessing.","docs/leakage_control_plan.md"
Customer State,Customer_State,customer_region,order_creation,allowed,allowed,allowed,direct_candidate,"Customer state is expected to be known at order creation and supports regional analysis.","Can be normalized or grouped before train-only encoding.","docs/leakage_control_plan.md"
Customer Street,Customer_Street,customer_identifier,sensitive_identifier,forbidden,forbidden,forbidden,exclude,"Street-level address detail is high-cardinality and sensitive.","Exclude; use coarser regional fields instead.","docs/leakage_control_plan.md"
Customer Zipcode,Customer_Zipcode,customer_region,order_creation,review,review,allowed,derived_only,"Customer postal code may be known at order creation but is granular and partially missing.","Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.","docs/leakage_control_plan.md"
Department Id,Department_Id,product_department,order_creation,review,review,allowed,review,"Department code is expected to be known at order creation but may duplicate department name.","Use with documented category/department grouping decisions.","docs/leakage_control_plan.md"
Department Name,Department_Name,product_department,order_creation,allowed,allowed,allowed,direct_candidate,"Department name is expected to be known at order creation and has clear business meaning.","Can be normalized and encoded inside train-only preprocessing.","docs/leakage_control_plan.md"
Latitude,Latitude,geography,order_creation,review,review,allowed,derived_only,"Latitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.","Prefer rounded coordinates or regional grouping for modeling.","docs/leakage_control_plan.md"
Longitude,Longitude,geography,order_creation,review,review,allowed,derived_only,"Longitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.","Prefer rounded coordinates or regional grouping for modeling.","docs/leakage_control_plan.md"
