source_artifact,feature_name,normalized_feature_name,feature_role,policy_status,matched_policy_rule,review_note
ao2_gradient_boosting_feature_importance,binary_flags__customer_order_country_match,binary_flags_customer_order_country_match,feature_importance_driver,caution,caution_driver_family:geography,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,binary_flags__customer_order_state_match,binary_flags_customer_order_state_match,feature_importance_driver,caution,caution_driver_family:geography,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,binary_flags__customer_zipcode_available,binary_flags_customer_zipcode_available,feature_importance_driver,caution,caution_driver_family:customer_context,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,binary_flags__is_same_day_or_next_day_shipping,binary_flags_is_same_day_or_next_day_shipping,feature_importance_driver,caution,caution_approved:is_same_day_or_next_day_shipping,Approved planned shipping predictor; commercial interpretation should remain pre-dispatch.
ao2_gradient_boosting_feature_importance,binary_flags__is_standard_shipping,binary_flags_is_standard_shipping,feature_importance_driver,caution,caution_approved:is_standard_shipping,Approved planned shipping predictor; commercial interpretation should remain pre-dispatch.
ao2_gradient_boosting_feature_importance,categorical__customer_country_normalized_ee_uu,categorical_customer_country_normalized_ee_uu,feature_importance_driver,caution,caution_approved:customer_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_country_normalized_puerto_rico,categorical_customer_country_normalized_puerto_rico,feature_importance_driver,caution,caution_approved:customer_country_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_segment_normalized_consumer,categorical_customer_segment_normalized_consumer,feature_importance_driver,caution,caution_approved:customer_segment_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_segment_normalized_corporate,categorical_customer_segment_normalized_corporate,feature_importance_driver,caution,caution_approved:customer_segment_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
ao2_gradient_boosting_feature_importance,categorical__customer_segment_normalized_home_office,categorical_customer_segment_normalized_home_office,feature_importance_driver,caution,caution_approved:customer_segment_normalized,"Approved predictor family, but interpretation needs caution due to sparsity or commercial proxy risk."
