title,body,labels,assignees,milestone,project_status,priority,workstream,,,,,,,,
[W1][P0][#1] Finalize scope and confirm research questions,"## Objective
Complete **Finalize scope and confirm research questions** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Planning
- Priority: High
- Owner: Andre

## Tasks
- [ ] Confirm scope and research alignment.
- [ ] Document decisions in the repository or shared workspace.
- [ ] Flag any unresolved scope risks for group review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Planning,P0-Critical",,W1 - Initiation,Backlog,P0 - Critical,Planning,1,,,,,,,
[W1][P0][#2] Configure GitHub repository and Project board,"## Objective
Complete **Configure GitHub repository and Project board** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Setup
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Create or validate the required repository/environment resources.
- [ ] Document setup instructions and dependencies.
- [ ] Confirm access for all group members.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Setup,P0-Critical",,W1 - Initiation,Backlog,P0 - Critical,Setup,2,,,,,,,
[W1][P0][#3] Configure Databricks Community Edition environment,"## Objective
Complete **Configure Databricks Community Edition environment** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Setup
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Create or validate the required repository/environment resources.
- [ ] Document setup instructions and dependencies.
- [ ] Confirm access for all group members.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Setup,P0-Critical",,W1 - Initiation,Backlog,P0 - Critical,Setup,3,,,,,,,
[W1][P0][#4] Download and verify the DataCo dataset,"## Objective
Complete **Download and verify the DataCo dataset** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Data
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Acquire or validate the required dataset or supporting data file.
- [ ] Check structure, row counts, file version, and completeness.
- [ ] Document source, version, and storage location.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Data,P0-Critical",,W1 - Initiation,Backlog,P0 - Critical,Data,4,,,,,,,
[W1][P0][#5] Develop the leakage-control plan,"## Objective
Complete **Develop the leakage-control plan** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Methodology
- Priority: High
- Owner: Andre

## Tasks
- [ ] Define the methodological rule or protocol.
- [ ] Document assumptions, exclusions, and validation criteria.
- [ ] Submit the protocol for peer review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Methodology,P0-Critical",,W1 - Initiation,Backlog,P0 - Critical,Methodology,5,,,,,,,
[W1][P2][#6] Create the Bronze-Silver-Gold structure in Databricks,"## Objective
Complete **Create the Bronze-Silver-Gold structure in Databricks** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Setup
- Priority: Medium
- Owner: Bruno

## Tasks
- [ ] Create or validate the required repository/environment resources.
- [ ] Document setup instructions and dependencies.
- [ ] Confirm access for all group members.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Setup,P2-Medium",,W1 - Initiation,Backlog,P2 - Medium,Setup,6,,,,,,,
[W1][P2][#7] Position the literature and gap analysis,"## Objective
Complete **Position the literature and gap analysis** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W1-Initiation
- Workstream: Research
- Priority: Low
- Owner: Luciana

## Tasks
- [ ] Compare relevant literature against the project gap.
- [ ] Create a concise evidence table or synthesis.
- [ ] Update the literature review section.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W1-Initiation,Research,P2-Medium",,W1 - Initiation,Backlog,P2 - Medium,Research,7,,,,,,,
[W2][P0][#1] Bronze: ingest raw CSV into Delta Lake,"## Objective
Complete **Bronze: ingest raw CSV into Delta Lake** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Engineering
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Engineering,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Engineering,1,,,,,,,
"[W2][P0][#2] Silver: clean missing values, data types, and encoding","## Objective
Complete **Silver: clean missing values, data types, and encoding** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Engineering
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Engineering,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Engineering,2,,,,,,,
[W2][P0][#3] Feature engineering: order-time date variables,"## Objective
Complete **Feature engineering: order-time date variables** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W2-DataEngineering
- Workstream: Engineering
- Priority: High
- Owner: Andre

## Tasks
- [ ] Implement the required data pipeline or transformation.
- [ ] Validate schema, row counts, and leakage-safe outputs.
- [ ] Commit notebook/script and document execution order.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W2-DataEngineering,Engineering,P0-Critical",,W2 - Data Engineering,Backlog,P0 - Critical,Engineering,3,,,,,,,
